Film;Year
The Gorgeous Hussy;1936
These Three;1936
The Life of Emile Zola;1937
The Awful Truth;1937
Captains Courageous;1937
Dead End;1937
The Good Earth;1937
In Old Chicago;1937
Lost Horizon;1937
One Hundred Men and a Girl;1937
Stage Door;1937
A Star Is Born;1937
Conquest;1937
Night Must Fall;1937
Camille;1937
Stella Dallas;1937
The Hurricane;1937
Topper;1937
You Can't Take It With You;1938
The Adventures of Robin Hood;1938
Alexander's Ragtime Band;1938
Boys Town;1938
The Citadel;1938
Four Daughters;1938
Grand Illusion;1938
Jezebel;1938
Pygmalion;1938
Test Pilot;1938
Algiers;1938
Angels with Dirty Faces;1938
White Banners;1938
Marie Antoinette;1938
Three Comrades;1938
Kentucky;1938
If I Were King;1938
Of Human Hearts;1938
Merrily We Live;1938
The Great Waltz;1938
Gone with the Wind;1939
Dark Victory;1939
Goodbye, Mr. Chips;1939
Love Affair;1939
Mr. Smith Goes to Washington;1939
Ninotchka;1939
Of Mice and Men;1939
Stagecoach;1939
The Wizard of Oz;1939
Wuthering Heights;1939
Babes in Arms;1939
Juarez;1939
Beau Geste;1939
Drums Along the Mohawk;1939
Rebecca;1940
All This, and Heaven Too;1940
Foreign Correspondent;1940
The Grapes of Wrath;1940
The Great Dictator;1940
Kitty Foyle;1940
The Letter;1940
The Long Voyage Home;1940
Our Town;1940
The Philadelphia Story;1940
Abe Lincoln in Illinois;1940
The Westerner;1940
They Knew What They Wanted;1940
Primrose Path;1940
How Green Was My Valley;1941
Blossoms in the Dust;1941
Citizen Kane;1941
Here Comes Mr. Jordan;1941
Hold Back the Dawn;1941
The Little Foxes;1941
The Maltese Falcon;1941
One Foot in Heaven;1941
Sergeant York;1941
Suspicion;1941
Penny Serenade;1941
The Devil and Daniel Webster;1941
Ball of Fire;1941
The Devil and Miss Jones;1941
The Great Lie;1941
Mrs. Miniver;1942
The Invaders (49th Parallel);1942
Kings Row;1942
The Magnificent Ambersons;1942
The Pied Piper;1942
The Pride of the Yankees;1942
Random Harvest;1942
The Talk of the Town;1942
Wake Island;1942
Yankee Doodle Dandy;1942
Now, Voyager;1942
Woman of the Year;1942
My Sister Eileen;1942
Johnny Eager;1942
Tortilla Flat;1942
Casablanca;1943
For Whom the Bell Tolls;1943
Heaven Can Wait;1943
The Human Comedy;1943
In Which We Serve;1943
Madame Curie;1943
The More the Merrier;1943
The Ox-Bow Incident;1943
The Song of Bernadette;1943
Watch on the Rhine;1943
The Constant Nymph;1943
Sahara;1943
So Proudly We Hail!;1943
Going My Way;1944
Double Indemnity;1944
Gaslight;1944
Since You Went Away;1944
Wilson;1944
None but the Lonely Heart;1944
Mr. Skeffington;1944
Mrs. Parkington;1944
The Seventh Cross;1944
Laura;1944
Dragon Seed;1944
The Lost Weekend;1945
Anchors Aweigh;1945
The Bells of St. Mary's;1945
Mildred Pierce;1945
Spellbound;1945
The Keys of the Kingdom;1945
A Song to Remember;1945
The Valley of Decision;1945
Love Letters;1945
Leave her to Heaven;1945
A Tree Grows in Brooklyn;1945
The Corn Is Green;1945
The Story of G.I. Joe;1945
A Medal for Benny;1945
National Velvet;1945
The Picture of Dorian Gray;1945
The Best Years of Our Lives;1946
Henry V;1946
It's a Wonderful Life;1946
The Razor's Edge;1946
The Yearling;1946
The Jolson Story;1946
To Each His Own;1946
Brief Encounter;1946
Duel to the Sun;1946
Sister Kenny;1946
The Green Years;1946
Notorious;1946
The Spiral Staircase;1946
Saratoga Trunk;1946
Anna and the King of Siam;1946
Gentleman's Agreement;1947
The Bishop's Wife;1947
Crossfire;1947
Great Expectations;1947
Miracle on 34th Street;1947
A Double Life;1947
Body and Soul;1947
Life with Father;1947
Mourning Becomes Electra;1947
The Farmer's Daughter;1947
Possessed;1947
Smash-Up, the Story of a Woman;1947
Ride the Pink Horse;1947
Kiss of Death;1947
The Paradine Case;1947
The Egg and I;1947
Hamlet;1948
Johnny Belinda;1948
The Red Shoes;1948
The Snake Pit;1948
The Treasure of the Sierra Madre;1948
The Search;1948
When My Baby Smiles at Me;1948
Sitting Pretty;1948
Joan of Arc;1948
I Remember Mama;1948
Sorry, Wrong Number;1948
The Luck of the Irish;1948
Key Largo;1948
All the King's Men;1949
Battleground;1949
The Heiress;1949
A Letter to Three Wives;1949
Twelve O'Clock High;1949
Champion;1949
The Hasty Heart;1949
Sands of Iwo Jima;1949
Pinky;1949
My Foolish Heart;1949
Edward, My Son;1949
Come to the Stable;1949
All About Eve;1950
Born Yesterday;1950
Father of the Bride;1950
King Solomon's Mines;1950
Sunset Boulevard;1950
Cyrano de Bergerac;1950
The Magnificent Yankee;1950
Harvey;1950
Caged;1950
Sunset Boulevard;1950
Broken Arrow;1950
Mister 880;1950
The Asphalt Jungle;1950
An American in Paris;1951
Decision Before Dawn;1951
A Place in the Sun;1951
Quo Vadis;1951
A Streetcar Named Desire;1951
The African Queen;1951
Bright Victory;1951
Death of a Salesman;1951
Detective Story;1951
The Blue Veil;1951
Come Fill the Cup;1951
The Mating Season;1951
The Greatest Show on Earth;1952
High Noon;1952
Ivanhoe;1952
Moulin Rouge;1952
The Quiet Man;1952
Viva Zapata!;1952
The Bad and the Beautiful;1952
The Lavender Hill Mob;1952
Come Back, Little Sheba;1952
Sudden Fear;1952
The Star;1952
The Member of the Wedding;1952
With a Song in My Heart;1952
My Cousin Rachel;1952
The Big Sky;1952
Singin' in the Rain;1952
From Here to Eternity;1953
Julius Caesar;1953
The Robe;1953
Roman Holiday;1953
Shane;1953
Stalag 17;1953
1st Sgt. Milton Warden;1953
Lili ;1953
Mogambo;1953
The Moon is Blue;1953
Hondo;1953
Torch Song;1953
Pickup on South Street;1953
On the Waterfront;1954
The Caine Mutiny;1954
The Country Girl;1954
Seven Brides for Seven Brothers;1954
Three Coins in the Fountain;1954
A Star Is Born;1954
Adventures of Robinson Crusoe;1954
Carmen Jones;1954
Sabrina;1954
Magnificent Obsession;1954
The Barefoot Contessa;1954
Executive Suite;1954
Broken Lance;1954
The High and the Mighty;1954
Marty;1955
Love Is a Many-Splendored Thing;1955
Mister Roberts;1955
Picnic;1955
The Rose Tattoo;1955
Love Me or Leave Me;1955
East of Eden;1955
The Man with the Golden Arm;1955
Bad Day at Black Rock;1955
I'll Cry Tomorrow;1955
Summertime;1955
Interrupted Melody;1955
Trial;1955
Rebel Without a Cause;1955
Pete Kelly's Blues;1955
Around the World in 80 Days;1956
Friendly Persuasion;1956
Giant;1956
The King and I;1956
The Ten Commandments;1956
Lust for Life;1956
Richard III;1956
Anastasia;1956
Baby Doll;1956
The Rainmaker;1956
The Bad Seed;1956
Lust for Life;1956
Bus Stop;1956
The Bold and the Brave;1956
Written on the Wind;1956
The Bridge on the River Kwai;1957
12 Angry Men;1957
Peyton Place;1957
Sayonara;1957
Witness for the Prosecution;1957
A Hatful of Rain;1957
Wild is the Wind;1957
The Three Faces of Eve;1957
Heaven Knows, Mr. Allison;1957
Raintree County;1957
A Farewell to Arms;1957
The Bachelor Party;1957
Gigi;1958
Auntie Mame;1958
Cat on a Hot Tin Roof;1958
The Defiant Ones;1958
Separate Tables;1958
The Old Man and the Sea;1958
I Want to Live!;1958
Some Came Running;1958
The Big Country;1958
The Brothers Karamazov;1958
Teacher's Pet;1958
Lonelyhearts;1958
Ben-Hur;1959
Anatomy of a Murder;1959
The Diary of Anne Frank;1959
The Nun's Story;1959
Room at the Top;1959
Some Like it Hot;1959
The Last Angry Man;1959
Pillow Talk;1959
Suddenly, Last Summer;1959
The Young Philadelphians;1959
Imitation of Life;1959
The Apartment;1960
The Alamo;1960
Elmer Gantry;1960
Sons and Lovers;1960
The Sundowners;1960
The Entertainer;1960
Inherit the Wind;1960
Butterfield 8;1960
Sunrise at Campobello;1960
Never on Sunday;1960
Spartacus;1960
Murder, Inc.;1960
Exodus;1960
The Dark at the Top of the Stairs;1960
Psycho;1960
West Side Story;1961
Fanny;1961
The Guns of Navarone;1961
The Hustler;1961
Judgment at Nuremberg;1961
The Mark;1961
Two Women;1961
Breakfast at Tiffany's;1961
Summer and Smoke;1961
Splendor in the Grass;1961
Pocketful of Miracles;1961
The Children's Hour;1961
The Roman Spring of Mrs. Stone;1961
Lawrence of Arabia;1962
The Longest Day;1962
The Music Man;1962
Mutiny on the Bounty;1962
To Kill a Mockingbird;1962
Birdman of Alcatraz;1962
Days of Wine and Roses;1962
Divorce Italian Style;1962
The Miracle Worker;1962
What Ever Happened to Baby Jane?;1962
Long Day's Journey into Night;1962
Sweet Bird of Youth;1962
Billy Budd;1962
The Manchurian Candidate;1962
Tom Jones;1963
America America;1963
Cleopatra;1963
How the West Was Won;1963
Lilies of the Field;1963
This Sporting Life;1963
Hud;1963
The L-Shaped Room;1963
Irma la Douce;1963
Love with the Proper Stranger;1963
Twilight of Honor;1963
Captain Newman, M.D.;1963
The Cardinal;1963
The V.I.P.s;1963
My Fair Lady;1964
Becket;1964
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964
Mary Poppins;1964
Zorba the Greek;1964
The Pumpkin Eater;1964
Marriage Italian Style;1964
The Unsinkable Molly Brown;1964
Séance on a Wet Afternoon;1964
Topkapi;1964
Seven Days in May;1964
The Best Man;1964
The Chalk Garden;1964
The Night of the Iguana;1964
Hush… Hush, Sweet Charlotte;1964
The Sound of Music;1965
Darling;1965
Doctor Zhivago;1965
Ship of Fools;1965
A Thousand Clowns;1965
Cat Ballou;1965
The Spy Who Came in from the Cold;1965
Othello;1965
The Pawnbroker;1965
The Collector;1965
A Patch of Blue;1965
The Flight of the Phoenix;1965
Inside Daisy Clover;1965
A Man for All Seasons;1966
Alfie;1966
The Russians Are Coming;1966
The Sand Pebbles;1966
Who's Afraid of Virginia Woolf?;1966
A Man and a Woman;1966
The Shop on Main Street;1966
Georgy Girl;1966
Morgan!;1966
The Fortune Cookie;1966
Hawaii;1966
You're a Big Boy Now;1966
In the Heat of the Night;1967
Bonnie and Clyde;1967
Doctor Dolittle;1967
The Graduate;1967
Guess Who's Coming to Dinner;1967
Cool Hand Luke;1967
The Whisperers;1967
Wait Until Dark;1967
The Dirty Dozen;1967
Thoroughly Modern Millie;1967
Barefoot in the Park;1967
Oliver!;1968
Funny Girl;1968
The Lion in Winter;1968
Rachel, Rachel;1968
Romeo and Juliet;1968
Charly;1968
The Heart is a Lonely Hunter;1968
The Fixer;1968
The Subject was Roses;1968
Isadora;1968
Faces;1968
Star!;1968
The Producers;1968
Rosemary's Baby;1968
Midnight Cowboy;1969
Anne of the Thousand Days;1969
Butch Cassidy and the Sundance Kid;1969
Hello, Dolly!;1969
Z;1969
True Grit;1969
Goodbye, Mr. Chips;1969
The Prime of Miss Jean Brodie;1969
They Shoot Horses, Don't They?;1969
The Sterile Cuckoo;1969
The Happy Ending;1969
The Reivers;1969
Bob & Carol & Ted & Alice;1969
Easy Rider;1969
Cactus Flower;1969
Last Summer;1969
Patton;1970
Airport;1970
Five Easy Pieces;1970
Love Story;1970
M*A*S*H;1970
I Never Sang for My Father;1970
The Great White Hope;1970
Women in Love;1970
The Great White Hope;1970
Love Story;1970
Ryan's Daughter;1970
Diary of a Mad Housewife;1970
Lovers and Other Strangers;1970
Little Big Man;1970
The Landlord;1970
The French Connection;1971
A Clockwork Orange;1971
Fiddler on the Roof;1971
The Last Picture Show;1971
Nicholas and Alexandra;1971
Sunday Bloody Sunday;1971
Kotch;1971
The Hospital;1971
Klute;1971
McCabe & Mrs. Miller;1971
Mary, Queen of Scots;1971
Sometimes a Great Notion;1971
Carnal Knowledge;1971
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?;1971
The Go-Between;1971
The Godfather;1972
Cabaret;1972
Deliverance;1972
The Emigrants;1972
Sounder;1972
Sleuth;1972
The Ruling Class;1972
Lady Sings the Blues;1972
Travels with My Aunt;1972
The Heartbreak Kid;1972
Butterflies Are Free;1972
Pete 'n' Tillie;1972
Fat City;1972
The Poseidon Adventure;1972
The Sting;1973
American Graffiti;1973
Cries and Whispers;1973
The Exorcist;1973
A Touch of Class;1973
Save the Tiger;1973
Last Tango in Paris;1973
The Last Detail;1973
Serpico;1973
Cinderella Liberty;1973
The Way We Were;1973
Summer Wishes, Winter Dreams;1973
The Paper Chase;1973
Bang the Drum Slowly;1973
Paper Moo;1973
The Godfather Part II;1974
Chinatown;1974
The Conversation;1974
Lenny;1974
The Towering Inferno;1974
Harry and Tonto;1974
Murder on the Orient Express;1974
Alice Doesn't Live Here Anymore;1974
Claudine;1974
A Woman Under the Influence;1974
Thunderbolt and Lightfoot;1974
Day for Night;1974
Blazing Saddles;1974
One Flew Over the Cuckoo's Nest;1975
Barry Lyndon;1975
Dog Day Afternoon;1975
Jaws;1975
Nashville;1975
The Sunshine Boys;1975
The Man in the Glass Booth;1975
Give 'em Hell, Harry!;1975
The Story of Adele H.;1975
Tommy;1975
Hedda;1975
Hester Street;1975
The Sunshine Boys;1975
The Day of the Locust;1975
Shampoo;1975
Farewell, My Lovely;1975
Jacqueline Susann's Once Is Not Enough;1975
Rocky;1976
All the President's Men;1976
Bound for Glory;1976
Network;1976
Taxi Driver;1976
Seven Beauties;1976
Cousin Cousine;1976
Carrie;1976
Face to Face;1976
Marathon Man;1976
Voyage of the Damned;1976
Annie Hall;1977
The Goodbye Girl;1977
Julia;1977
Star Wars;1977
The Turning Point;1977
Equus;1977
A Special Day;1977
Saturday Night Fever;1977
Close Encounters of the Third Kind;1977
Looking for Mr. Goodbar;1977
The Deer Hunter;1978
Coming Home;1978
Heaven Can Wait;1978
Midnight Express;1978
An Unmarried Woman;1978
The Buddy Holly Story;1978
The Boys from Brazil;1978
Autumn Sonata;1978
Same Time, Next Year;1978
Interiors;1978
Comes a Horseman;1978
California Suite;1978
Kramer vs. Kramer;1979
All That Jazz;1979
Apocalypse Now;1979
Breaking Away;1979
Norma Rae;1979
The China Syndrome;1979
…And Justice for All;1979
Being There;1979
Starting Over;1979
Chapter Two;1979
The Rose;1979
The Black Stallion;1979
Manhattan;1979
Ordinary People;1980
Coal Miner's Daughter;1980
The Elephant Man;1980
Raging Bull;1980
Tess;1980
The Great Santini;1980
Tribute;1980
The Stunt Man;1980
Resurrection;1980
Private Benjamin;1980
Gloria;1980
Melvin and Howard;1980
Inside Moves;1980
Chariots of Fire;1981
Atlantic City;1981
On Golden Pond;1981
Raiders of the Lost Ark;1981
Reds;1981
Arthur;1981
Absence of Malice;1981
Only When I Laugh;1981
The French Lieutenant's Woman;1981
Ragtime;1981
Gandhi;1982
E.T. the Extra-Terrestrial;1982
Missing;1982
Tootsie;1982
The Verdict;1982
My Favorite Year;1982
Sophie's Choice;1982
Victor Victoria;1982
Frances;1982
An Officer and a Gentleman;1982
The Best Little Whorehouse in Texas;1982
The World According to Garp;1982
Terms of Endearment;1983
The Big Chill;1983
The Dresser;1983
The Right Stuff;1983
Tender Mercies;1983
Educating Rita;1983
Reuben, Reuben;1983
Testament;1983
Silkwood;1983
To Be or Not to Be;1983
Cross Creek;1983
The Year of Living Dangerously;1983
Yentl;1983
Amadeus;1984
The Killing Fields;1984
A Passage to India;1984
Places in the Heart;1984
A Soldier's Story;1984
Starman;1984
Under the Volcano;1984
Country;1984
The Bostonians;1984
The River;1984
The Karate Kid;1984
Greystoke: The Legend of Tarzan, Lord of the Apes;1984
The Natural;1984
Swing Shift;1984
The Pope of Greenwich Village;1984
Out of Africa;1985
The Color Purple;1985
Kiss of the Spider Woman;1985
Prizzi's Honor;1985
Witness;1985
Murphy's Romance;1985
Runaway Train;1985
The Trip to Bountiful;1985
Agnes of God;1985
Sweet Dreams;1985
Cocoon;1985
Jagged Edge;1985
Twice in a Lifetime;1985
Platoon;1986
Children of a Lesser God;1986
Hannah and Her Sisters;1986
The Mission;1986
A Room with a View;1986
The Color of Money;1986
Round Midnight;1986
Mona Lisa;1986
Salvador;1986
The Morning After;1986
Crimes of the Heart;1986
Peggy Sue Got Married;1986
Aliens;1986
Hoosiers;1986
The Last Emperor;1987
Broadcast News;1987
Fatal Attraction;1987
Hope and Glory;1987
Moonstruck;1987
Wall Street;1987
Dark Eyes;1987
Ironweed;1987
Good Morning, Vietnam;1987
Anna;1987
The Untouchables;1987
Street Smart;1987
Cry Freedom;1987
Gaby: A True Story;1987
Throw Momma from the Train;1987
The Whales of August;1987
Rain Man;1988
The Accidental Tourist;1988
Dangerous Liaisons;1988
Mississippi Burning;1988
Working Girl;1988
Big;1988
Stand and Deliver;1988
Pelle the Conqueror;1988
The Accused;1988
A Cry in the Dark;1988
Gorillas in the Mist;1988
A Fish Called Wanda;1988
Little Dorrit;1988
Tucker: The Man and His Dream;1988
Running on Empty;1988
Married to the Mob;1988
Driving Miss Daisy;1989
Born on the Fourth of July;1989
Dead Poets Society;1989
Field of Dreams;1989
My Left Foot;1989
Henry V;1989
Camille Claudel;1989
Shirley Valentine;1989
Music Box;1989
The Fabulous Baker Boys;1989
Glory;1989
Do the Right Thing;1989
A Dry White Season;1989
Crimes and Misdemeanors;1989
Enemies, A Love Story;1989
Steel Magnolias;1989
Parenthood;1989
Dances with Wolves;1990
Awakenings;1990
Ghost;1990
The Godfather Part III;1990
Goodfellas;1990
Reversal of Fortune;1990
Cyrano de Bergerac;1990
The Field;1990
Misery;1990
The Grifters;1990
Pretty Woman;1990
Postcards from the Edge;1990
Mr. & Mrs. Bridge;1990
Longtime Companion;1990
Dick Tracy;1990
Wild at Heart;1990
The Silence of the Lambs;1991
Beauty and the Beast;1991
Bugsy;1991
JFK;1991
The Prince of Tides;1991
Cape Fear;1991
The Fisher King;1991
Thelma & Louise;1991
Rambling Rose;1991
For the Boys;1991
City Slickers;1991
Barton Fink;1991
Fried Green Tomatoes;1991
Unforgiven;1992
The Crying Game;1992
A Few Good Men;1992
Howards End;1992
Scent of a Woman;1992
Chaplin;1992
Malcom X;1992
Indochine;1992
Passion Fish;1992
Love Field;1992
Lorenzo's Oil;1992
Glengarry Glen Ross;1992
Mr. Saturday Night;1992
My Cousin Vinny;1992
Husbands and Wives;1992
Enchanted April;1992
Damage;1992
Schindler's List;1993
The Fugitive;1993
In the Name of the Father;1993
The Piano;1993
The Remains of the Day;1993
Philadelphia;1993
What's Love Got to do with it;1993
Six Degrees of Separation;1993
Shadowlands;1993
What's Eating Gilbert Grape;1993
In the Line of Fire;1993
The Firm;1993
Fearless;1993
The Age of Innocence;1993
Forrest Gump;1994
Four Weddings and a Funeral;1994
Pulp Fiction;1994
Quiz Show;1994
The Shawshank Redemption;1994
The Madness of King George;1994
Nobody's Fool;1994
Blue Sky;1994
Nell;1994
Tom & Viv;1994
Little Women;1994
The Client;1994
Ed Wood;1994
Bullets over Broadway;1994
Braveheart;1995
Apollo 13;1995
Babe;1995
II Postino: The Postman;1995
Sense and Sensibility;1995
Leaving Las Vegas;1995
Mr. Holland's Opus;1995
Nixon;1995
Dead Man Walking;1995
Casino;1995
The Bridges of Madison County;1995
The Usual Suspects;1995
12 Monkeys;1995
Rob Roy;1995
Mighty Aphrodite;1995
Georgia;1995
The English Patient;1996
Fargo;1996
Jerry Maguire;1996
Secrets & Lies;1996
Shine;1996
The people vs. Larry Flynt;1996
Sling Blade;1996
Marvin's Room;1996
Breaking the Waves;1996
Primal Fea;1996
Ghosts of Mississippi;1996
The Crucible;1996
The Mirror Has Two Faces;1996
The Portrait of a Lady;1996
Titanic;1997
As Good as It Gets;1997
The Full Monty;1997
Good Will Hunting;1997
L.A. Confidential;1997
The Apostle;1997
Ulee's Gold;1997
Wag the Dog;1997
The Wings of the Dove;1997
Afterglow;1997
Mrs Brown;1997
Jackie Brown;1997
Amistad;1997
Boogie Nights;1997
In & Out;1997
Shakespeare in Love;1998
Elizabeth;1998
Life Is Beautiful;1998
Saving Private Ryan;1998
The Thin Red Line;1998
Gods and Monsters;1998
Affliction;1998
American History X;1998
Central Station;1998
One True Thing;1998
Hilary and Jackie;1998
A Civil Action;1998
The Truman Show;1998
A Simple Plan;1998
Primary Colors;1998
Little Voice;1998
American Beauty;1999
The Cider House Rules;1999
The Green Mile;1999
The Insider;1999
The Sixth Sense;1999
The Straight Story;1999
Sweet and Lowdown;1999
Hurricane;1999
Boys Don't Cry;1999
Tumbleweeds;1999
The End of the Affair;1999
Music of the Heart;1999
Magnolia;1999
The Talented Mr. Ripley;1999
Girl, Interrupted;1999
Being John Malkovich;1999
Gladiator;2000
Chocolat;2000
Crouching Tiger, Hidden Dragon;2000
Erin Brockovich;2000
Traffic;2000
Before Night Falls;2000
Cast Away;2000
Pollock;2000
Quills;2000
The Contender;2000
Requiem for a Dream;2000
You Can Count on Me;2000
Shadow of the Vampire;2000
Billy Elliot;2000
Almost Famous;2000
A Beautiful Mind;2001
Gosford Park;2001
In the Bedroom;2001
The Lord of the Rings: The Fellowship of the Ring;2001
Moulin Rouge!;2001
Training Day;2001
I Am Sam;2001
Monster's Ball;2001
Ali;2001
Iris;2001
Bridget Jones's Diary;2001
Sexy Beast;2001
Chicago;2002
Gangs of New York;2002
The Hours;2002
The Lord of the Rings: The Two Towers;2002
The Pianist;2002
Adaptation;2002
The Quiet American;2002
About Schmidt;2002
Frida;2002
Unfaithful;2002
Far from Heaven;2002
Road to Perdition;2002
Catch Me If You Can;2002
The Lord of the Rings: The Return of the King;2003
Lost in Translation;2003
Master and Commander: The Far Side of the World;2003
Mystic River;2003
Seabiscuit;2003
Pirates of the Caribbean: The Curse of the Black Pearl;2003
House of Sand and Fog;2003
Cold Mountain;2003
Monster;2003
Whale Rider;2003
Something's Gotta Give;2003
In America;2003
21 Grams;2003
The Cooler;2003
The Last Samurai;2003
Pieces of April;2003
Thirteen;2003
Million Dollar Baby;2004
The Aviator;2004
Finding Neverland;2004
Ray;2004
Sideways;2004
Hotel Rwanda;2004
Being Julia;2004
Maria Full of Grace;2004
Vera Drake;2004
Eternal Sunshine of the Spotless Mind;2004
Collateral;2004
Closer;2004
Kinsey;2004
Crash;2005
Brokeback Mountain;2005
Capote;2005
Good Night, and Good Luck;2005
Munich;2005
Hustle & Flow;2005
Walk the Line;2005
Mrs Henderson Presents;2005
Transamerica;2005
Pride & Prejudice;2005
North Country;2005
Syriana;2005
Cinderella Man;2005
A History of Violence;2005
The Constant Gardener;2005
Junebug;2005
The Departed;2006
Babel;2006
Letters from Iwo Jima;2006
Little Miss Sunshine;2006
The Queen;2006
The Last King of Scotland;2006
Blood Diamond;2006
Half Nelson;2006
Venus;2006
The Pursuit of Happyness;2006
Volver;2006
Notes on a Scandal;2006
The Devil Wears Prada;2006
Little Children;2006
Dreamgirls;2006
No Country for Old Men;2007
Atonement;2007
Juno;2007
Michael Clayton;2007
There Will Be Blood;2007
Sweeney Todd: The Demon Barber of Fleet Street;2007
In the Valley of Elah;2007
Eastern Promises;2007
La Vie en Rose;2007
Elizabeth: The Golden Age;2007
Away from Her;2007
The Savages;2007
The Assassination of Jesse James by the Coward Robert Ford;2007
Charlie Wilson's War;2007
Into the Wild;2007
I'm Not There;2007
American Gangster;2007
Gone Baby Gone;2007
Slumdog Millionaire;2008
The Curious Case of Benjamin Button;2008
Frost/Nixon;2008
Milk;2008
The Reader;2008
The Visitor;2008
The Wrestler;2008
Rachel Getting Married;2008
Changeling;2008
Frozen River;2008
Doubt;2008
The Dark Knight;2008
Tropic Thunder;2008
Revolutionary Road;2008
Vicky Cristina Barcelona;2008
The Hurt Locker;2009
Avatar;2009
The Blind Side;2009
District 9;2009
An Education;2009
Inglourious Basterds;2009
Precious;2009
A Serious Man;2009
Up;2009
Up in the Air;2009
Crazy Heart;2009
A Single Man;2009
Invictus;2009
The Last Station;2009
Julie & Julia;2009
The Messenger;2009
The Lovely Bones;2009
Nine;2009
The King's Speech;2010
127 Hours;2010
Black Swan;2010
The Fighter;2010
Inception;2010
The Kids Are All Right;2010
The Social Network;2010
Toy Story 3;2010
True Grit;2010
Winter's Bone;2010
Biutiful;2010
Rabbit Hole;2010
Blue Valentine;2010
The Town;2010
Animal Kingdom;2010
The Artist;2011
The Descendants;2011
Extremely Loud & Incredibly Close;2011
The Help;2011
Hugo;2011
Midnight in Paris;2011
Moneyball;2011
The Tree of Life;2011
War Horse;2011
A Better Life;2011
Tinker Tailor Soldier Spy;2011
The Iron Lady;2011
Albert Nobbs;2011
The Girl with the Dragon Tattoo;2011
My Week with Marilyn;2011
Beginners;2011
Warrior;2011
Bridesmaids;2011
Argo;2012
Amour;2012
Beasts of the Southern Wild;2012
Django Unchained;2012
Les Misérables;2012
Life of Pi;2012
Lincoln;2012
Silver Linings Playbook;2012
Zero Dark Thirty;2012
The Master;2012
Flight;2012
The Impossible;2012
The Sessions;2012
12 Years a Slave;2013
American Hustle;2013
Captain Phillips;2013
Dallas Buyers Club;2013
Gravity;2013
Her;2013
Nebraska;2013
Philomena;2013
The Wolf of Wall Street;2013
Blue Jasmine;2013
August: Osage County;2013
Birdman or (The Unexpected Virtue of Ignorance);2014
American Sniper;2014
Boyhood;2014
The Grand Budapest Hotel;2014
The Imitation Game;2014
Selma;2014
The Theory of Everything;2014
